Pick Taken,Round Grade,,IN,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3C,SS,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Final Data Grade,Combine/Senior/Shrine Adjust,Combine Grade,Year Grade,Raw Grade,Posistional Value ,Run Defense,Coverage,Pass Rush,RAS,Size,LOC,Age
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Leo Lowin,Army,Ind.,LB,LB95,4SR,,,,,,,,,,,,,,, ,2.04,NA,,2.04,2.27,2.5,3.2,3.2,,3.9,4.5,2.3,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Lewis Matthews,Grambling State,#N/A,LB,LB96,6SR,,,,,,,,,,,,,,, ,2.02,NA,,2.02,2.25,2.5,3.1,3.5,,2.1,6.6,2.9,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Mitchell Kulkin,Tulsa,AAC,LB,LB97,6SR,,,,,,,,,,,,,,, ,2.02,NA,,2.02,2.24,2.5,3.1,3.5,,3.2,5.7,3.2,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jaylon Scott,NC State,ACC,LB,LB98,5SR,,,,,,,,,,,,,,, ,2.01,NA,,2.01,2.23,2.5,3.1,3.3,,4.8,3.8,4.7,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Johnathan Butler,Middle Tennessee,C-USA,LB,LB99,5SR,,,,,,,,,,,,,,, ,1.99,NA,,1.99,2.21,2.5,3.1,3.2,,5.4,3.6,1.5,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Keontra Smith,Miami,ACC,LB,LB100,5SR,,,,,,,,,,,,,,, ,1.98,NA,,1.98,2.20,2.4,3.1,3.2,,6.1,3.2,0.0,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Andre White,Georgia Tech,ACC,LB,LB101,5SR,,,,,,,,,,,,,,, ,1.97,NA,,1.97,2.19,2.4,3.0,3.2,,4.4,4.3,1.5,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Shane Lee,USC,Pac-12,LB,LB102,5SR,,,,,,,,,,,,,,, ,1.96,NA,,1.96,2.17,2.4,3.0,3.2,,4.8,4.1,0.2,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,AJ Vongphachanh,BYU,Ind.,LB,LB103,5SR,,,,,,,,,,,,,,, ,1.94,NA,,1.94,2.16,2.4,3.0,3.2,,5.3,3.2,4.2,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tre'Vion Green,Prairie View A&M,#N/A,LB,LB104,5SR,,,,,,,,,,,,,,, ,1.94,NA,,1.94,2.16,2.4,3.0,3.2,,3.3,5.1,1.0,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chris Adimora,SMU,AAC,LB,LB105,5SR,,,,,,,,,,,,,,, ,1.93,NA,,1.93,2.15,2.4,3.0,3.1,,3,5.4,0.2,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Antonio Grier,Arkansas,SEC,LB,LB106,6SR,,,,,,,,,,,,,,, ,1.93,NA,,1.93,2.15,2.4,3.0,3.3,,4.7,4.3,2.1,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ale Kaho,UCLA,Pac-12,LB,LB107,6SR,,,,,,,,,,,,,,, ,1.90,NA,,1.90,2.11,2.3,2.9,3.3,,4,4.9,0.3,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jeremiah Jean-Baptiste,Ole Miss,SEC,LB,LB108,5SR,,,,,,,,,,,,,,, ,1.85,NA,,1.85,2.06,2.3,2.9,3.0,,4.6,3.7,1.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jacoby Windmon,Michigan St.,Big Ten,LB,LB109,5SR,,,,,,,,,,,,,,, ,1.85,NA,,1.85,2.06,2.3,2.9,3.0,,5.3,3.2,0.9,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jamoi Hodge,TCU,Big 12,LB,LB110,4SR,,,,,,,,,,,,,,, ,1.83,NA,,1.83,2.03,2.3,2.8,2.8,,4.4,3.4,1.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Braelen Oliver,Georgia Tech,ACC,LB,LB111,6SR,,,,,,,,,,,,,,, ,1.81,NA,,1.81,2.01,2.2,2.8,3.1,,4,4.5,0.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Devin Richardson,Washington State,Pac-12,LB,LB112,6SR,,,,,,,,,,,,,,, ,1.80,NA,,1.80,2.00,2.2,2.8,3.1,,3.3,4.6,4.0,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Rich Miller,Kansas,Big 12,LB,LB113,5SR,,,,,,,,,,,,,,, ,1.78,NA,,1.78,1.98,2.2,2.7,2.9,,5.3,2.9,1.1,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ralen Goforth,Washington,Pac-12,LB,LB114,5SR,,,,,,,,,,,,,,, ,1.77,NA,,1.77,1.97,2.2,2.7,2.9,,2.1,5.4,0.7,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Carson Kropp,North Texas,C-USA,LB,LB115,6SR,,,,,,,,,,,,,,, ,1.77,NA,,1.77,1.97,2.2,2.7,3.0,,4.8,3.7,0.5,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Trimarcus Cheeks,Houston,AAC,LB,LB116,5SR,,,,,,,,,,,,,,, ,1.77,NA,,1.77,1.96,2.2,2.7,2.9,,2.3,5.3,,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Will Harbour,Navy,AAC,LB,LB117,4SR,,,,,,,,,,,,,,, ,1.76,NA,,1.76,1.96,2.2,2.7,2.7,,3.9,3.4,2.6,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Aaron Brule,Michigan St.,Big Ten,LB,LB118,6SR,,,,,,,,,,,,,,, ,1.75,NA,,1.75,1.94,2.2,2.7,3.0,,2,5.4,3.9,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,TRUE,FALSE,Trezmen Marshall,Alabama,SEC,LB,LB119,5SR,,,,,,,,,,,,,,, ,1.72,NA,,1.72,1.91,1.9,2.4,2.5,,3.6,3.1,2.8,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ahmad McCullough,Washington State,Pac-12,LB,LB120,6SR,,,,,,,,,,,,,,, ,1.71,NA,,1.71,1.90,2.1,2.6,2.9,,0.7,6.7,,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jasper Williams,Louisiana,Sun Belt,LB,LB121,5SR,,,,,,,,,,,,,,, ,1.71,NA,,1.71,1.90,2.1,2.6,2.8,,3.2,4,3.3,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tyrique Matthews,Texas Tech,Big 12,LB,LB122,5SR,,,,,,,,,,,,,,, ,1.69,NA,,1.69,1.88,2.1,2.6,2.8,,3.2,4.3,0.0,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Shayne Simon,Pitt,#N/A,LB,LB123,6SR,,,,,,,,,,,,,,, ,1.66,NA,,1.66,1.85,2.1,2.6,2.8,,3.5,4,2.8,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Juwan Mitchell,Colorado,Pac-12,LB,LB124,6SR,,,,,,,,,,,,,,, ,1.62,NA,,1.62,1.80,2.0,2.5,2.8,,5.3,2.6,1.2,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Noah Plack,UConn,Ind.,LB,LB125,6SR,,,,,,,,,,,,,,, ,1.61,NA,,1.61,1.78,2.0,2.5,2.8,,3.9,3.5,2.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Khadry Jackson,Georgia Southern,Sun Belt,LB,LB126,5SR,,,,,,,,,,,,,,, ,1.59,NA,,1.59,1.76,2.0,2.4,2.6,,2.8,3.8,3.5,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Calvin Hart Jr.,Oregon State,Pac-12,LB,LB127,6SR,,,,,,,,,,,,,,, ,1.46,NA,,1.46,1.63,1.8,2.3,2.5,,3.8,3.1,1.3,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,DeAndre Faulk,Hampton,FCS,LB,LB128,6SR,,,,,,,,,,,,,,, ,1.44,NA,,1.44,1.60,1.8,2.2,2.5,,5.7,1.4,2.5,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chuck Hicks,Missouri,SEC,LB,LB129,6SR,,,,,,,,,,,,,,, ,1.41,NA,,1.41,1.57,1.7,2.2,2.4,,4.2,2.5,2.0,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ryan Selig,Minnesota,Big Ten,LB,LB130,6SR,,,,,,,,,,,,,,, ,1.40,NA,,1.40,1.56,1.7,2.2,2.4,,2.4,3.9,1.5,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Alan Tisdale,Virginia Tech,ACC,LB,LB131,6SR,,,,,,,,,,,,,,, ,1.39,NA,,1.39,1.55,1.7,2.2,2.4,,2,4.2,1.3,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Max Tooley,BYU,Ind.,LB,LB132,6SR,,,,,,,,,,,,,,, ,1.33,NA,,1.33,1.48,1.6,2.1,2.3,,0.9,4.7,2.2,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jacob Mangum-Farrar,Indiana,Big Ten,LB,LB133,6SR,,,,,,,,,,,,,,, ,1.28,NA,,1.28,1.42,1.6,2.0,2.2,,4.7,1.4,3.3,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Walter Yates III,UCF,AAC,LB,LB134,6SR,,,,,,,,,,,,,,, ,1.27,NA,,1.27,1.41,1.6,2.0,2.2,,4,2.2,0.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jerry Roberts,Umass,Ind.,LB,LB135,7SR,,,,,,,,,,,,,,, ,1.15,NA,,1.15,1.27,1.4,1.8,2.1,,1.4,4,0.5,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Cam Dillon,Duke,ACC,LB,LB136,6SR,,,,,,,,,,,,,,, ,1.08,NA,,1.08,1.20,1.3,1.7,1.9,,0.6,3.9,1.9,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tarique Barnes,Illinois,Big Ten,LB,LB137,5SR,,,,,,,,,,,,,,, ,1.01,NA,,1.01,1.12,1.2,1.6,1.6,,3.6,1.2,0.3,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Gilbert Frierson,Louisville,ACC,LB,LB138,6SR,,,,,,,,,,,,,,, ,0.98,NA,,0.98,1.08,1.2,1.5,1.7,,-1.1,4.9,0.8,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,James Miller,South Alabama,Sun Belt,LB,LB139,6SR,,,,,,,,,,,,,,, ,0.97,NA,,0.97,1.07,1.2,1.5,1.7,,1.6,2.8,0.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chaz Ah You,BYU,Ind.,LB,LB140,6SR,,,,,,,,,,,,,,, ,0.81,NA,,0.81,0.90,1.0,1.3,1.4,,2.1,1.8,0.0,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Malik Robinson,Houston,AAC,LB,LB141,7SR,,,,,,,,,,,,,,, ,0.77,NA,,0.77,0.86,1.0,1.2,1.4,,3.1,0.9,1.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Larry Nixon III,Auburn,SEC,LB,LB142,6SR,,,,,,,,,,,,,,, ,0.76,NA,,0.76,0.84,0.9,1.2,1.3,,3.8,0.1,1.4,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Isaiah Paul,UCF,AAC,LB,LB143,6SR,,,,,,,,,,,,,,, ,0.67,NA,,0.67,0.74,0.8,1.0,1.1,,5.7,-1.6,,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Teradja Mitchell,Florida,SEC,LB,LB144,6SR,,,,,,,,,,,,,,, ,0.66,NA,,0.66,0.74,0.8,1.0,1.1,,2.9,0.5,0.5,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Noah Young,Colorado,Pac-12,LB,LB145,6SR,,,,,,,,,,,,,,, ,0.45,NA,,0.45,0.50,0.6,0.7,0.8,,4.5,-1.6,,,,,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Monty Montgomery,Ole Miss,SEC,LB,LB146,7SR,,,,,,,,,,,,,,, ,0.30,NA,,0.30,0.33,0.4,0.5,0.5,,1.1,0.4,0.7,,,,0.0
