Pick Taken,Grade,,In,Combine,Senior,Shrine,Hula,Name,School,Conf,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,Bench,3Cone,SS,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Final  Data Grade,Senior/Shrine Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Reciving,Pass Block,Run Block,RAS,Age
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Hayden Meacham,Weber State,,TE,TE93,,,6041,257,858,3148,7828,1.78,5.13,18,7.45,4.66,30.00,,,,0.74,NA,0.74,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chris Carter,Tulane,,TE,TE94,,,6022,248,900,3178,7818,1.87,4.76,7,7.9,4.75,26.50,,,,0.70,NA,0.70,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Noah Massey,West Virginia,,TE,TE95,,,6030,234,1048,3438,8068,1.65,4.68,16,7.45,4.6,30.00,,,,0.65,NA,0.65,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Nathan Bax,ARKANSAS,,TE,TE96,6SR,,6051,242,900,3168,7528,1.72,4.95,14,7.63,4.67,33.00,,, ,0.62,0.31,0.31,0.93,1.0,1.0,1.1,1.3,,0.29,5.1,2.5,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Patrick Murtagh,Australia (Intl.),,TE,TE97,,,6060,246,1018,3378,8200,DNP,DNP,19,7.3,DNP,31.00,,,,0.61,NA,0.61,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Josiah Johnson,OKLA STATE,,TE,TE98,6SR,,6045,243,928,3228,7748,1.75,5,DNP,7.38,4.66,31.5,,, ,0.58,0.10,0.48,0.69,0.7,0.7,0.8,0.9,,0.23,6.2,-4.5,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Justin Marcus,Villanova,,TE,TE99,,,6053,242,1000,3218,7778,DNP,DNP,DNP,DNP,DNP,DNP,,,,0.52,NA,0.52,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tristan Ballard,ARKAPB,,TE,TE100,6SR,,6040,240,968,3418,8348,1.80,4.94,DNP,7.77,4.62,29.00,,, ,0.49,0.10,0.39,0.59,0.6,0.6,0.7,0.8,,0.42,-2.6,-1.4,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jack Whyte,Western Illinois,,TE,TE101,,,6024,237,1000,3028,7400,1.78,5.12,DNP,DNP,DNP,DNP,,,,0.44,NA,0.44,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,George Takacs,BOSTON COL,,TE,TE102,6SR,,6062,260,928,3168,7648,DNP,DNP,DNP,DNP,DNP,DNP,,, ,0.42,-1.80,2.22,-1.37,-1.4,-1.4,-1.6,-1.8,,-4.38,4.9,3.7,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jax Sherrard,Sam Houston St.,,TE,TE103,,,6044,243,948,3138,7900,1.71,5.08,DNP,7.83,4.78,26.50,,,,0.35,NA,0.35,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ron Tiavaasue,NEW MEX ST,,TE,TE104,6SR,,6031,282,978,3158,7728,1.65,5.01,27,7.59,4.72,32.50,,, ,0.23,-0.34,0.57,-0.11,-0.1,-0.1,-0.1,-0.1,,-2.36,9.9,5.5,4.88,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Abdou Diop,Morgan State,,TE,TE105,,,6024,215,918,3228,7918,1.65,4.82,9,7.53,4.47,31.00,,,,0.22,NA,0.22,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brandon Crum,South Alabama,,TE,TE106,,,6025,253,948,3178,7648,1.69,4.92,14,7.69,4.77,33.00,,,,0.17,NA,0.17,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Zach Marsh Wojan,UCF,,TE,TE107,,,6035,251,848,3218,7938,1.88,5.08,16,DNP,DNP,DNP,,,,0.13,NA,0.13,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brennan Brown,Howard,,TE,TE108,,,6043,246,928,3348,8068,1.76,5.02,DNP,7.61,4.67,28.00,,,,0.09,NA,0.09,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Brandon Shelnutt,Limestone,,TE,TE109,,,6026,256,868,3178,7700,1.91,5.45,7,8.15,5,22.00,,,,0.00,NA,0.00,,,,,,,,,,,
