Pick Taken,Grade,,IN,Combine,Senior,Shrine,Hula,RP,Name,School,Conference,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3c,Shuttle,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Cutoff Count,Speed Adjust,Size Adjust,Senior/Shrine Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Man,Zone,RAS,Hands,YAC,Separation,Age,Size,Contested Catch,Press
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Xavier Wade,Ferris State,,WR,WR80,,,6004,192,,,,1.57,4.55,8,7.07,4.32,38.5,,,0.0,2.99,NA,2.99,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Julian Hicks,Albany,,WR,WR81,,,6017,201,,,,1.52,4.53,DNP,6.77,4.4,36.5,,,0.0,2.97,NA,2.97,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Jeshaun Jones,Maryland,Big Ten,WR,WR82,6SR,,,,,,,1.55,4.51,DNP,6.95,4.15,33.5,,,0.0,2.97,-0.74,3.71,0,2.2,2.2,2.3,2.6,3.1,3.4,,3.82,2.7,,4.6,7.0,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,DeVonte Tanksley,Tenn.-Martin,,WR,WR83,,,5086,160,,,,1.46,4.4,DNP,6.84,4.28,38,,,0.0,2.93,NA,2.93,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,D'Ante' Cox,Southern Illinois,,WR,WR84,,,5102,180,,,,1.57,4.6,7,6.75,4.28,37,,,0.0,2.92,NA,2.92,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Zach Peterson,Michigan,Big Ten,WR,WR85,,,6003,185,,,,1.6,4.64,15,7.08,4.31,37.5,,,0.0,2.90,NA,2.90,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Sam Pinckney,Coastal Carolina,Sun Belt,WR,WR86,6SR,,6027,223,968,3228,7600,1.63,4.75,20,DNP,DNP,32.5,900,,0.0,2.87,-0.28,3.15,4,2.6,2.7,2.8,3.1,3.7,4.1,,5.58,6.8,,5.1,1.2,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Dee Williams,Tennessee,SEC,WR,WR87,,,5104,190,,,,1.65,4.56,DNP,7.35,4.37,30.5,,,0.0,2.87,NA,2.87,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Xavier Johnson,Ohio State,Big Ten,WR,WR88,6SR,0,6006,202,938,3238,7758,1.59,4.63,14,7,4.33,36,DNP,4-11-99,25.0,2.86,-1.39,4.3,1,1.5,1.5,1.5,1.6,1.9,2.1,,0,0.2,5.81,0.1,8.2,,-3.5,6.23,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Marcus Rogers,Troy,Sun Belt,WR,WR89,,,6034,200,,,,1.47,4.44,11,7.2,4.31,38.5,,,0.0,2.86,NA,2.86,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Brevin Easton,Albany,,WR,WR90,,,5104,187,,,,1.59,4.58,14,6.77,4.24,37.5,,,0.0,2.84,NA,2.84,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Barry Elliott,Fayetteville State,,WR,WR91,,,5095,166,,,,1.58,4.47,8,7.09,4.52,33,,,0.0,2.83,NA,2.83,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,R.J. Starkey,Samford,,WR,WR92,,,6000,214,,,,1.5,4.45,11,7.1,4.31,36,,,0.0,2.82,NA,2.82,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Re-al Mitchell,San Diego,,WR,WR93,,,5102,206,,,,1.63,4.61,24,7.6,4.43,36.5,,,0.0,2.80,NA,2.80,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Dayton Wade,Ole Miss,SEC,WR,WR94,5SR,,5091,174,,,,1.56,4.45,11,7.06,4.21,37.5,,,0.0,2.77,-0.98,3.75,2,1.8,1.8,1.9,2.1,2.5,2.5,,2.62,3,,3.9,3.7,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Darrell Harding,Buffalo,MAC,WR,WR95,,,6032,207,,,,1.57,4.76,8,7.14,4.29,32.5,,,0.0,2.77,NA,2.77,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Carlos Hill,,,WR,WR96,,,5093,176,,,,1.57,4.45,DNP,7.1,4.5,37.5,,,0.0,2.76,NA,2.76,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,DeAngelo Hardy,North Central (Ill.),,WR,WR97,,,6006,208,,,,1.61,4.59,16,7.12,4.44,30.5,,,0.0,2.74,NA,2.74,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Hendrix Johnson,Northern Arizona,,WR,WR98,,,5115,192,,,,1.6,4.44,10,7.36,4.39,37,,,0.0,2.73,NA,2.73,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Jalon Calhoun,Duke,,WR,WR99,5SR,,,,,,,1.58,4.64,11,7.44,4.47,34,,,0.0,2.71,-0.94,3.65,2,1.8,1.8,1.9,2.1,2.5,2.5,,4.85,0.9,,-1.7,7.3,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Devin Maddox,Toledo,MAC,WR,WR100,,,5073,157,,,,1.53,4.49,DNP,6.82,4.15,38.5,,,0.0,2.70,NA,2.70,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Terrell Vaughn,Utah State,MWC,WR,WR101,5SR,,5066,170,858,2858,6928,1.57,4.51,12,7.01,4.34,33.5,1001,,0.0,2.69,-0.44,3.13,3,2.2,2.2,2.4,2.6,3.1,3.2,,4.52,1.3,,9.7,3.3,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Xavier White,Texas Tech,Big 12,WR,WR102,6SR,,,,,,,1.64,4.46,14,7.03,4.2,31.5,,,0.0,2.68,-0.65,3.33,2,2.0,2.1,2.2,2.4,2.8,3.1,,2.49,3.3,,3.4,7.5,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Arland Bruce IV,Oklahoma State,Big 12,WR,WR103,,,5086,190,,,,1.7,4.77,10,6.98,4.18,28.5,,,0.0,2.67,NA,2.67,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Devin Carter,West Virginia,Big 12,WR,WR104,6SR,,,,,,,1.66,4.65,12,7.05,4.33,31.5,,,0.0,2.66,-0.83,3.49,3,1.8,1.9,2.0,2.2,2.6,2.9,,1.1,6.2,,3.0,3.7,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Bud Tolbert,UL-Monroe,,WR,WR105,,,6013,189,,,,1.72,4.68,12,7.22,4.59,34.5,,,0.0,2.66,NA,2.66,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Cam Johnson,Northwestern,Big Ten,WR,WR106,6SR,,,,,,,1.59,4.59,DNP,7,4.22,37,,,0.0,2.65,-0.81,3.46,1,1.8,1.8,1.9,2.2,2.5,2.8,,3.93,2.3,,4.8,3.8,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Quinton Lane,Jacksonville St.,,WR,WR107,,,6020,199,,,,1.59,4.65,10,7.34,4.66,28.5,,,0.0,2.63,NA,2.63,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Yemi Ward,St. Ambrose,,WR,WR108,,,5111,192,,,,1.65,4.58,4,7.66,4.56,37,,,0.0,2.60,NA,2.60,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Amad Anderson,Temple,AAC,WR,WR109,,,5100,169,,,,1.55,4.66,DNP,7.08,4.58,28,,,0.0,2.57,NA,2.57,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,OJ Hiliare,Bowling Green,MAC,WR,WR110,,,5110,182,,,,1.58,4.57,13,7.21,4.38,32.5,,,0.0,2.56,NA,2.56,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Phillip Brooks,Kansas State,Big 12,WR,WR111,6SR,8,,,,,,1.53,4.5,DNP,6.75,4.02,37,,,0.0,2.55,-0.67,3.22,0,1.9,1.9,2.0,2.2,2.6,2.9,,1.61,3.7,,9.6,2.4,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Brian Jenkins,Olivet Nazarene,,WR,WR112,,,6007,202,,,,1.58,4.69,14,7.32,4.44,31,,,0.0,2.53,NA,2.53,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Noah Sarria,Colorado Mesa,,WR,WR113,,,5094,200,,,,1.54,4.54,14,7.21,4.28,34.5,,,0.0,2.51,NA,2.51,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Jaelen Gill,Fresno State,MWC,WR,WR114,6SR,,5114,189,918,3058,7428,1.6,4.51,15,7.09,4.36,34,911,,0.0,2.50,-0.11,2.61,1,2.4,2.4,2.6,2.8,3.3,3.7,,6.14,1.7,,7.5,4.9,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Anthony Frederick,Bryant,,WR,WR115,,,5096,182,,,,1.57,4.46,7,7.11,4.25,34.5,,,0.0,2.49,NA,2.49,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Ayir Asante,Wyoming,MWC,WR,WR116,5SR,,5096,181,878,3028,7200,1.63,4.51,14,7.01,4.14,36,1003,,0.0,2.47,-0.12,2.6,4,2.4,2.4,2.5,2.8,3.3,3.4,,1.43,1.1,6.63,0.3,9.8,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Terique Owens,Missouri State,,WR,WR117,,,6014,199,,,,1.57,4.52,14,7.47,4.74,38.5,,,0.0,2.47,NA,2.47,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Kaleb Carter,Louisiana,Sun Belt,WR,WR118,,,5113,170,,,,1.54,4.5,DNP,6.87,4.33,31,,,0.0,2.46,NA,2.46,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Tykee Ogle-Kellogg,UTSA,C-USA,WR,WR119,6SR,,6042,220,868,3300,7900,1.55,4.52,DNP,7.35,4.64,29.5,910,,0.0,2.44,-1.11,3.6,2,1.3,1.3,1.4,1.5,1.8,2.0,,1.74,1.9,,4.9,3.1,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Caden Leggett,West Florida,,WR,WR120,,,6015,197,,,,1.59,4.65,10,7.34,4.52,29,,,0.0,2.41,NA,2.41,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Peyton Brown,Davenport,,WR,WR121,,,5103,188,,,,1.67,4.69,10,7.41,4.51,34,,,0.0,2.40,NA,2.40,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Jon Schofield,College of Idaho,,WR,WR122,,,5097,173,,,,1.6,4.59,17,6.97,4.27,37,,,0.0,2.39,NA,2.39,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Lincoln Victor,Washington State,Pac-12,WR,WR123,5SR,,,,,,,1.6,4.54,11,6.82,5.11,36,,,0.0,2.38,-0.68,3.06,0,1.7,1.7,1.8,2.0,2.4,2.4,,4.02,1.5,,4.7,2.7,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Tyrone Howell,UL Monroe,,WR,WR124,6SR,,,,,,,1.71,4.74,13,7.21,4.55,31,,,0.0,2.38,-0.62,3.00,3,1.8,1.8,1.9,2.1,2.5,2.8,,5.51,0.9,,6.1,2.3,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Je'Quan Burton,FAU,C-USA,WR,WR125,6SR,,5091,177,900,3028,7518,1.56,4.51,14,6.95,4.1,41.5,1101,,0.0,2.37,-1.16,3.53,3,1.2,1.2,1.3,1.4,1.7,1.9,,2.22,0.2,,2.9,5.5,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,James McNeill,Bowie State,,WR,WR126,,,6017,194,,,,1.65,4.56,15,7.46,4.46,34,,,0.0,2.37,NA,2.37,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Brandon Porter,Incarnate Word,,WR,WR127,,,5101,190,,,,1.59,4.63,16,7.59,4.2,33.5,,,0.0,2.36,NA,2.36,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Deshon Stoudemire,Troy,Sun Belt,WR,WR128,,,5116,188,,,,1.53,4.59,DNP,7.02,4.3,30,,,0.0,2.34,NA,2.34,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Isaah Crocker,Nevada,MWC,WR,WR129,,,6006,179,,,,1.58,4.59,DNP,7.25,4.56,35,,,0.0,2.33,NA,2.33,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Lawrence Keys,Tulane,AAC,WR,WR130,6SR,,,,,,,1.54,4.52,10,7.1,4.32,28.5,,,0.0,2.31,0.07,2.24,1,2.4,2.4,2.5,2.8,3.3,3.7,,2.87,6.6,,6.4,2.5,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,JaQuae Jackson,Rutgers,Big Ten,WR,WR131,6SR,,,,,,,1.56,4.51,12,6.85,4.18,36,,,0.0,2.31,-0.85,3.16,0,1.5,1.5,1.5,1.7,2.0,2.2,,2.99,3.2,,5.1,0.1,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Stefan Cobbs,Boise State,MWC,WR,WR132,,,5116,181,,,,1.64,4.75,11,7.14,4.53,32,,,0.0,2.31,NA,2.31,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Tauskie Dove,Memphis,AAC,WR,WR133,6SR,,,,,,,1.62,4.56,7,7.46,4.35,35,,,0.0,2.29,-1.03,3.3,3,1.3,1.3,1.3,1.5,1.8,1.9,,0.69,1.7,,5.0,4.7,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Perry Carter,Jacksonville State,,WR,WR134,,,5085,165,,,,1.5,4.5,DNP,7.32,4.45,32,,,0.0,2.27,NA,2.27,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Warren Thompson,TCU,Big 12,WR,WR135,6SR,,,,,,,1.7,4.57,DNP,7.35,4.45,32,,,0.0,2.26,-0.84,3.1,4,1.4,1.4,1.5,1.7,2.0,2.2,,2.22,2.2,,8.3,0.7,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Joe Scates,Memphis,AAC,WR,WR136,6SR,,6022,210,,,,1.65,4.53,5,7.07,4.43,31.5,,,0.0,2.25,-1.43,3.7,2,0.8,0.8,0.9,1.0,1.1,1.3,,0.59,2.5,,2.3,1.1,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Derrick Hinton,Saginaw Valley St.,,WR,WR137,,,5073,168,,,,1.63,4.5,14,6.97,4.21,41,,,0.0,2.23,NA,2.23,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Cole Harrity,Buffalo,MAC,WR,WR138,,,5102,196,,,,1.62,4.71,9,6.63,4.13,33.5,,,0.0,2.21,NA,2.21,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Kyle Sheets,Slippery Rock,,WR,WR139,,,6027,217,,,,1.53,4.52,16,7.03,4.27,37,,,0.0,2.18,NA,2.18,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,David Robinson,Nicholls State,,WR,WR140,,,6020,211,,,,1.7,4.56,12,7.53,4.6,33,,,0.0,2.16,NA,2.16,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Corey Crooms,Minnesota,Big Ten,WR,WR141,5SR,,5107,187,1048,3238,7648,1.7,4.62,12,7,4.27,34,1000,,0.0,2.14,-1.09,3.23,2,1.1,1.1,1.1,1.3,1.5,1.5,,4.51,0.4,,0.0,1.3,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Treveyon Pratt,Morgan State,,WR,WR142,,,6012,197,,,,1.64,4.45,14,7.89,4.22,30,,,0.0,2.14,NA,2.14,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Qadir Ismail,Samford,,WR,WR143,,,6062,228,,,,1.62,4.66,DNP,7.39,4.53,34,,,0.0,2.13,NA,2.13,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Geordon Porter,UConn,Ind.,WR,WR144,6SR,,6003,192,948,3128,7700,1.54,4.4,8,7.27,4.2,36,1006,,0.0,2.12,-1.46,3.58,1,0.7,0.7,0.7,0.8,0.9,1.0,,0.53,0.1,,6.9,0.7,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Kassidy Woods,Auburn,SEC,WR,WR145,,,6022,211,,,,1.61,4.79,DNP,7.35,4.36,36.5,,,0.0,2.11,NA,2.11,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,CJ Jefferson,Ferris State,,WR,WR146,,,5112,194,,,,1.7,4.73,13,7.31,4.46,33,,,0.0,2.10,NA,2.10,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Isaiah Washington,Rutgers,Big Ten,WR,WR147,5SR,,6021,210,,,,1.59,4.59,DNP,6.98,4.31,38,,,0.0,2.09,-1.16,3.25,1,0.9,0.9,1.0,1.1,1.3,1.3,,0.95,0.5,,7.8,0.5,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Jermaine Brown,UAB,C-USA,WR,WR148,,,5077,184,,,,1.55,4.5,19,7.26,4.4,32.5,,,0.0,2.08,NA,2.08,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Devin Briscoe,La. Christian,,WR,WR149,,,5076,206,,,,1.58,4.6,21,7.45,4.6,30.5,,,0.0,2.07,NA,2.07,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Mark Pope,UMass,Ind.,WR,WR150,6SR,,5113,176,848,2968,7248,1.5,4.48,DNP,7.2,4.3,30.5,,,0.0,2.06,-1.14,3.2,3,0.9,0.9,1.0,1.1,1.3,1.4,,0.72,1.1,,6.3,1.5,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drew Dixon,Limestone,,WR,WR151,,,6016,202,,,,1.63,4.75,13,7.28,4.32,33.5,,,0.0,2.04,NA,2.04,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,DeQuece Carter,Indiana,Big Ten,WR,WR152,5SR,,,,,,,1.6,4.65,12,7.12,4.19,34,,,0.0,2.02,-1.37,3.39,1,0.6,0.7,0.7,0.8,0.9,0.9,,2.8,0.2,,-1.5,1.7,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Brennen McGuire,Gardner-Webb,,WR,WR153,,,5090,162,,,,1.6,4.59,6,7.33,4.41,33,,,0.0,2.01,NA,2.01,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Koby Duru,Louisiana Tech,C-USA,WR,WR154,,,6022,202,,,,1.72,4.69,14,7.28,4.38,36,,,0.0,2.00,NA,2.00,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Terrill Cole,West Georgia,,WR,WR155,,,5117,181,,,,1.62,4.69,DNP,7.27,4.39,33.5,,,0.0,1.98,NA,1.98,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Kashan Griffin,NW Missouri St.,,WR,WR156,,,5103,165,,,,1.62,4.64,DNP,7.4,4.27,27.5,,,0.0,1.97,NA,1.97,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Jojo Marinella,Randolph-Macon,,WR,WR157,,,5077,176,,,,1.61,4.75,6,7.26,4.19,30.5,,,0.0,1.95,NA,1.95,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Dre Wallace-Davis,Anna Maria,,WR,WR158,,,6033,201,,,,1.64,4.75,DNP,7.3,4.4,32,,,0.0,1.94,NA,1.94,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Reggie Brown,James Madison,Sun Belt,WR,WR159,6SR,,6001,189,878,3078,7638,1.62,4.61,DNP,6.97,4.38,30.5,1001,,0.0,1.93,0.41,1.52,3,2.3,2.4,2.5,2.8,3.3,3.7,,7.6,2.6,,0.7,5.3,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Latreal Jones,Southern Miss,Sun Belt,WR,WR160,5SR,,5115,195,,,,1.66,4.45,15,6.9,4.41,34,,,0.0,1.93,-1.02,3.0,1,0.9,0.9,1.0,1.1,1.3,1.3,,0.18,1.8,,3.1,2.7,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Jake L'Heureux,Edinboro,,WR,WR161,,,5105,183,,,,1.69,4.74,12,7.51,4.36,33,,,0.0,1.93,NA,1.93,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Eddie Lewis,South Carolina,SEC,WR,WR162,6SR,,5113,186,868,3200,7478,1.6,4.54,14,7.44,4.64,35.5,1002,,0.0,1.87,-0.85,2.72,2,1.0,1.0,1.1,1.2,1.4,1.6,,0.01,4.1,,2.1,1.5,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Jaylon Robinson,TCU,Big 12,WR,WR163,6SR,,,,,,,1.62,4.57,DNP,7.02,4.3,32,,,0.0,1.86,-1.10,2.96,3,0.8,0.8,0.8,0.9,1.1,1.2,,2.13,0.9,,1.1,1.4,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,AP Pitre,Southern,,WR,WR164,,,6010,179,,,,1.58,4.65,12,7.5,4.62,38,,,0.0,1.85,NA,1.85,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Peter LeBlanc,Louisiana,Sun Belt,WR,WR165,5SR,,,,,,,1.59,4.57,7,7.06,4.78,28.5,,,0.0,1.84,-0.70,2.5,2,1.1,1.1,1.2,1.3,1.6,1.6,,3.48,1.6,,1.0,0.9,,0.0,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Taymon Cooke,N. Carolina A&T,,WR,WR166,,,5110,184,,,,1.58,4.55,20,7.03,4.36,34,,,0.0,1.84,NA,1.84,,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Demarcus Gregory,C. Missouri St.,,WR,WR167,,,6012,208,,,,1.64,4.66,10,7.33,4.46,34,,,0.0,1.81,NA,1.81,,,0.0,0.0,,,,,,,,,,,,,,
